facility_id,facility_name,primary_sector,emissions_2023,label
1005661,Archer Daniels Midland Co.,Injection of CO2,3819217.302,Archer Daniels Midland Co. [1005661] -- Injection of CO2
1000836,Leland Olds,Power Plants,3785799.85,Leland Olds [1000836] -- Power Plants
1000232,Eastman Chemical Company,Chemicals,3679916.236,Eastman Chemical Company [1000232] -- Chemicals
1000825,Deer Park Energy Center,Power Plants,3664604.12,Deer Park Energy Center [1000825] -- Power Plants
1000233,US Steel (Edgar Thomson),Metals,3576537.488,US Steel (Edgar Thomson) [1000233] -- Metals
1001149,Bonanza,Power Plants,3535786.57,Bonanza [1001149] -- Power Plants
1000460,McIntosh Combined Cycle Facility,Power Plants,3478991.696,McIntosh Combined Cycle Facility [1000460] -- Power Plants
1001042,Harrington Station,Power Plants,3465956.924,Harrington Station [1001042] -- Power Plants
1000801,Thomas A. Smith Energy Facility,Power Plants,3432994.128,Thomas A. Smith Energy Facility [1000801] -- Power Plants
1001050,Ottumwa,Power Plants,3426759.316,Ottumwa [1001050] -- Power Plants
1000539,Plum Point Energy Station,Power Plants,3376312.124,Plum Point Energy Station [1000539] -- Power Plants
1006695,Dearborn Industrial Generation,Power Plants,3294867.668,Dearborn Industrial Generation [1006695] -- Power Plants
1007978,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",Chemicals,3250629.394,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY [1007978] -- Chemicals"
1007202,Sioux,Power Plants,3233284.61,Sioux [1007202] -- Power Plants
1006005,"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex",Chemicals,3191236.552,"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex [1006005] -- Chemicals"
1005310,AES - PUERTO RICO COGENERATION PLANT,Power Plants,3170977.366,AES - PUERTO RICO COGENERATION PLANT [1005310] -- Power Plants
1006935,Red Hills Generation Facility,Power Plants,3159040.484,Red Hills Generation Facility [1006935] -- Power Plants
1006630,Port Washington Generating Station,Power Plants,3154314.36,Port Washington Generating Station [1006630] -- Power Plants
1001048,Pawnee,Power Plants,3099895.384,Pawnee [1001048] -- Power Plants
1000986,Weston,Power Plants,3030740.21,Weston [1000986] -- Power Plants
1006802,Sanford,Power Plants,3027145.88,Sanford [1006802] -- Power Plants
1008504,VALERO REFINING CO - CALI FORNIA BENICIA REFINERY,Chemicals,2996794.128,VALERO REFINING CO - CALI FORNIA BENICIA REFINERY [1008504] -- Chemicals
1001414,E C Gaston,Power Plants,2996029.536,E C Gaston [1001414] -- Power Plants
1001407,"Fairless Energy, LLC",Power Plants,2995199.4,"Fairless Energy, LLC [1001407] -- Power Plants"
1007563,HOLCIM (US) INC STE GENEVIEVE PLANT,Minerals,2967850.702,HOLCIM (US) INC STE GENEVIEVE PLANT [1007563] -- Minerals
1005871,Kingston,Power Plants,2925736.939,Kingston [1005871] -- Power Plants
1001649,CENTRAL COMPRESSOR PLANT,Petroleum and Natural Gas Systems,2918099.212,CENTRAL COMPRESSOR PLANT [1001649] -- Petroleum and Natural Gas Systems
1007323,Channelview Cogeneration Facility,Power Plants,2890021.192,Channelview Cogeneration Facility [1007323] -- Power Plants
1001372,Freestone Power Generation,Power Plants,2859464.8,Freestone Power Generation [1001372] -- Power Plants
1005761,Bailey Mine-Crabapple Portal,Other,2817632.218,Bailey Mine-Crabapple Portal [1005761] -- Other
1001232,Linden Cogeneration Facility,Power Plants,2812086.604,Linden Cogeneration Facility [1001232] -- Power Plants
1000150,Chuck Lenzie Generating Station,Power Plants,2778085.456,Chuck Lenzie Generating Station [1000150] -- Power Plants
1001038,Coleto Creek,Power Plants,2755586.288,Coleto Creek [1001038] -- Power Plants
1008110,VALERO CORPUS CHRISTI REFINERY,Chemicals,2752817.918,VALERO CORPUS CHRISTI REFINERY [1008110] -- Chemicals
1006047,ADM CORN PROCESSING,Other,2746519.158,ADM CORN PROCESSING [1006047] -- Other
1006386,Mont Belvieu Complex,Petroleum and Natural Gas Systems,2719638.418,Mont Belvieu Complex [1006386] -- Petroleum and Natural Gas Systems
1000816,Plaquemine Cogen Facility,Power Plants,2717564.99,Plaquemine Cogen Facility [1000816] -- Power Plants
1001489,P L Bartow Power Plant,Power Plants,2699795.332,P L Bartow Power Plant [1001489] -- Power Plants
1008459,Westlake US 2 LLC,Chemicals,2689617.184,Westlake US 2 LLC [1008459] -- Chemicals
1001466,Hayden,Power Plants,2668816.256,Hayden [1001466] -- Power Plants
1001158,John S. Rainey Generating Station,Power Plants,2632605.22,John S. Rainey Generating Station [1001158] -- Power Plants
1001142,Chouteau Power Plant,Power Plants,2606111.048,Chouteau Power Plant [1001142] -- Power Plants
1006068,EXXONMOBIL OIL JOLIET REFINERY,Petroleum Product Suppliers,2601421.15,EXXONMOBIL OIL JOLIET REFINERY [1006068] -- Petroleum Product Suppliers
1001709,OCCIDENTAL CHEMICAL CORPORATION - Taft Facility,Power Plants,2557973.872,OCCIDENTAL CHEMICAL CORPORATION - Taft Facility [1001709] -- Power Plants
1004386,MISSISSIPPI LIME COMPANY,Minerals,2525594.148,MISSISSIPPI LIME COMPANY [1004386] -- Minerals
1004368,INEOS CHOCOLATE BAYOU PLANT,Chemicals,2510015.376,INEOS CHOCOLATE BAYOU PLANT [1004368] -- Chemicals
1004183,"CF Industries Nitrogen, LLC - Yazoo City Facility",Chemicals,2433916.714,"CF Industries Nitrogen, LLC - Yazoo City Facility [1004183] -- Chemicals"
1007303,Cottonwood Energy Project,Power Plants,2384097.516,Cottonwood Energy Project [1007303] -- Power Plants
1001520,"Kincaid Generation, LLC",Power Plants,2381916.638,"Kincaid Generation, LLC [1001520] -- Power Plants"
1006402,Air Products Port Arthur Facility,Chemicals,2335031.274,Air Products Port Arthur Facility [1006402] -- Chemicals
1001347,Acadia Power Station,Power Plants,2330334.516,Acadia Power Station [1001347] -- Power Plants
1000250,Santan,Power Plants,2329386.74,Santan [1000250] -- Power Plants
1000821,Magnolia Facility,Power Plants,2321855.171,Magnolia Facility [1000821] -- Power Plants
1008757,Enlow Fork Mine,Other,2312526.476,Enlow Fork Mine [1008757] -- Other
1001174,Seward Generation LLC,Power Plants,2279070.452,Seward Generation LLC [1001174] -- Power Plants
1007913,"Catlettsburg Refining, LLC",Petroleum Product Suppliers,2238477.634,"Catlettsburg Refining, LLC [1007913] -- Petroleum Product Suppliers"
1001028,Wyodak,Power Plants,2233043.048,Wyodak [1001028] -- Power Plants
1007438,Eastman Chemical - Texas Operations,Chemicals,2220077.858,Eastman Chemical - Texas Operations [1007438] -- Chemicals
1000059,Tenaska Kiamichi Generating Station,Power Plants,2201472.592,Tenaska Kiamichi Generating Station [1000059] -- Power Plants
1001309,Midlothian Energy,Power Plants,2196477.86,Midlothian Energy [1001309] -- Power Plants
1001308,Zeeland Generating Station,Power Plants,2181723.516,Zeeland Generating Station [1001308] -- Power Plants
1006468,BP CHERRY POINT REFINERY,Chemicals,2179352.242,BP CHERRY POINT REFINERY [1006468] -- Chemicals
1000255,"Odyssey Energy Altura Cogen, LLC",Power Plants,2163677.836,"Odyssey Energy Altura Cogen, LLC [1000255] -- Power Plants"
1008938,VALERO REFINING TEXAS CITY REFINERY,Petroleum Product Suppliers,2159862.93,VALERO REFINING TEXAS CITY REFINERY [1008938] -- Petroleum Product Suppliers
1001338,Lake Road Generating Company,Power Plants,2159025.448,Lake Road Generating Company [1001338] -- Power Plants
1006721,Sabine,Power Plants,2137865.376,Sabine [1006721] -- Power Plants
1004305,Phillips 66 BAYWAY REFINERY,Chemicals,2112076.454,Phillips 66 BAYWAY REFINERY [1004305] -- Chemicals
1000265,Fayette Energy Facility,Power Plants,2111450.276,Fayette Energy Facility [1000265] -- Power Plants
1006983,Baytown Energy Center,Power Plants,2104515.048,Baytown Energy Center [1006983] -- Power Plants
1001209,Louisiana 1,Power Plants,2080245.092,Louisiana 1 [1001209] -- Power Plants
1001104,V H Braunig,Power Plants,2077177.4237328025,V H Braunig [1001104] -- Power Plants
1001650,CENTRAL GAS FACILITY,Petroleum and Natural Gas Systems,2076855.438,CENTRAL GAS FACILITY [1001650] -- Petroleum and Natural Gas Systems
1000168,Washington Power Generation LLC,Power Plants,2074696.212,Washington Power Generation LLC [1000168] -- Power Plants
1008761,Marshall County Mine,Other,2055846.216,Marshall County Mine [1008761] -- Other
1000277,Jasper County Generating Facility,Power Plants,2054257.01,Jasper County Generating Facility [1000277] -- Power Plants
1000912,Williams,Petroleum and Natural Gas Systems,2024627.708,Williams [1000912] -- Petroleum and Natural Gas Systems
1000346,Bayou Cogeneration Plant,Chemicals,2017198.162,Bayou Cogeneration Plant [1000346] -- Chemicals
1000761,East River,Power Plants,1995500.784,East River [1000761] -- Power Plants
1005992,SWEENY REFINERY,Petroleum Product Suppliers,1967424.934,SWEENY REFINERY [1005992] -- Petroleum Product Suppliers
1006208,ADM CORN PROCESSING,Other,1945776.984,ADM CORN PROCESSING [1006208] -- Other
1004130,HOUSTON REFINING,Petroleum Product Suppliers,1930871.36,HOUSTON REFINING [1004130] -- Petroleum Product Suppliers
1001027,Big Stone,Power Plants,1919343.406,Big Stone [1001027] -- Power Plants
1000819,Central Alabama Generating Station,Power Plants,1918312.84,Central Alabama Generating Station [1000819] -- Power Plants
1001044,John Twitty,Power Plants,1915921.772,John Twitty [1001044] -- Power Plants
1004211,HF Sinclair Puget Sound Refining LLC,Petroleum Product Suppliers,1900998.896,HF Sinclair Puget Sound Refining LLC [1004211] -- Petroleum Product Suppliers
1001920,Phillips 66 Ponca City Refinery,Chemicals,1899802.276,Phillips 66 Ponca City Refinery [1001920] -- Chemicals
1007330,Linden Generating Station,Power Plants,1861722.014,Linden Generating Station [1007330] -- Power Plants
1005743,"TotalEnergies Petrochemicals & Refining USA, Inc. - Port Arthur Refinery",Petroleum Product Suppliers,1860674.7,"TotalEnergies Petrochemicals & Refining USA, Inc. - Port Arthur Refinery [1005743] -- Petroleum Product Suppliers"
1000343,Lemont Refinery,Chemicals,1857829.404,Lemont Refinery [1000343] -- Chemicals
1004291,HF SINCLAIR EL DORADO REFINING LLC,Chemicals,1851451.162,HF SINCLAIR EL DORADO REFINING LLC [1004291] -- Chemicals
1003649,PREPA San Juan Steam Power Plant,Power Plants,1837314.654,PREPA San Juan Steam Power Plant [1003649] -- Power Plants
1000099,Robinson Refinery,Petroleum Product Suppliers,1826459.498,Robinson Refinery [1000099] -- Petroleum Product Suppliers
1006843,Phillips 66 Los Angeles Refinery - Wilmington Plant,Chemicals,1825648.184,Phillips 66 Los Angeles Refinery - Wilmington Plant [1006843] -- Chemicals
1006324,Genesis Alkali Westvaco,Minerals,1824844.072,Genesis Alkali Westvaco [1006324] -- Minerals
1000582,Lawrence Energy Center,Power Plants,1824439.596,Lawrence Energy Center [1000582] -- Power Plants
1001705,OCCIDENTAL CHEMICAL CORPORATION INGLESIDE PLANT,Chemicals,1803754.27,OCCIDENTAL CHEMICAL CORPORATION INGLESIDE PLANT [1001705] -- Chemicals
1000133,Pastoria Energy Facility,Power Plants,1800309.128,Pastoria Energy Facility [1000133] -- Power Plants
1005874,HOLCIM (US) INC. D/B/A LAFARGE ALPENA,Minerals,1769012.8,HOLCIM (US) INC. D/B/A LAFARGE ALPENA [1005874] -- Minerals
1001167,Brandy Branch,Power Plants,1760425.322,Brandy Branch [1001167] -- Power Plants
1001521,Powerton,Power Plants,1701459.082,Powerton [1001521] -- Power Plants
1006012,PHILLIPS 66 CO - LAKE CHARLES REFINERY,Petroleum Product Suppliers,1694915.17,PHILLIPS 66 CO - LAKE CHARLES REFINERY [1006012] -- Petroleum Product Suppliers
1005831,Southaven Combined Cycle,Power Plants,1681841.868,Southaven Combined Cycle [1005831] -- Power Plants
1001333,"Rio Nogales Power Project, LP",Power Plants,1676705.094348,"Rio Nogales Power Project, LP [1001333] -- Power Plants"
1001029,Fort St. Vrain,Power Plants,1673244,Fort St. Vrain [1001029] -- Power Plants
1003489,PCS NITROGEN FERTILIZER LP - GEISMAR AGRICULTURAL NITROGEN & PHOSPHATE PLANT,Chemicals,1666091.196,PCS NITROGEN FERTILIZER LP - GEISMAR AGRICULTURAL NITROGEN & PHOSPHATE PLANT [1003489] -- Chemicals
1006966,Newman,Power Plants,1655901.112,Newman [1006966] -- Power Plants
1000421,Fox Energy Center,Power Plants,1625577.232,Fox Energy Center [1000421] -- Power Plants
1001098,Cane Island,Power Plants,1625344.576,Cane Island [1001098] -- Power Plants
1000813,Hillabee Energy Center,Power Plants,1621452.34,Hillabee Energy Center [1000813] -- Power Plants
1007328,Hobbs Generating Station,Power Plants,1600256.52,Hobbs Generating Station [1007328] -- Power Plants
1001376,Liberty Electric Power Plant,Power Plants,1591349.952,Liberty Electric Power Plant [1001376] -- Power Plants
1006069,North Omaha Station,Power Plants,1588042.778,North Omaha Station [1006069] -- Power Plants
1001356,Ontelaunee Energy Center,Power Plants,1578806.3,Ontelaunee Energy Center [1001356] -- Power Plants
1001119,Coyote Springs,Power Plants,1576674.128,Coyote Springs [1001119] -- Power Plants
1007625,CHALMETTE REFINING LLC - CHALMETTE REFINERY,Petroleum Product Suppliers,1568512.014,CHALMETTE REFINING LLC - CHALMETTE REFINERY [1007625] -- Petroleum Product Suppliers
1004340,"PCS NITROGEN FERTILIZER, L.P.",Chemicals,1566702.416,"PCS NITROGEN FERTILIZER, L.P. [1004340] -- Chemicals"
1000995,J P Madgett,Power Plants,1546537.778,J P Madgett [1000995] -- Power Plants
1007207,Cherokee,Power Plants,1514356.584,Cherokee [1007207] -- Power Plants
1001357,Caledonia,Power Plants,1499073.671,Caledonia [1001357] -- Power Plants
1000828,L V Sutton Steam Electric Plant,Power Plants,1495648.708,L V Sutton Steam Electric Plant [1000828] -- Power Plants
1001056,Toledo Refining Company,Petroleum Product Suppliers,1470013.824,Toledo Refining Company [1001056] -- Petroleum Product Suppliers
1001063,Sikeston,Power Plants,1466563.046,Sikeston [1001063] -- Power Plants
1005949,Apache Station,Power Plants,1458091.254,Apache Station [1005949] -- Power Plants
1005308,Searles Valley Minerals,Other,1429567.708,Searles Valley Minerals [1005308] -- Other
1007307,Milford Power Company LLC,Power Plants,1425972.916,Milford Power Company LLC [1007307] -- Power Plants
1005629,St Marys Cement INC,Minerals,1425742.296,St Marys Cement INC [1005629] -- Minerals
1007927,CalPortland Company Oro Grande Plant,Minerals,1424150.09,CalPortland Company Oro Grande Plant [1007927] -- Minerals
1005110,Carville Energy Center,Power Plants,1422172.78,Carville Energy Center [1005110] -- Power Plants
1002229,"PCS Nitrogen Ohio, L.P.",Chemicals,1370574.774,"PCS Nitrogen Ohio, L.P. [1002229] -- Chemicals"
1001363,Corpus Christi Energy Center,Power Plants,1366344.332,Corpus Christi Energy Center [1001363] -- Power Plants
1007936,"Diamond Shamrock Refining Company, L.P.",Chemicals,1366131.162,"Diamond Shamrock Refining Company, L.P. [1007936] -- Chemicals"
1001315,Rhode Island State Energy Center,Power Plants,1361847.604,Rhode Island State Energy Center [1001315] -- Power Plants
1000795,Luna Energy Facility,Power Plants,1350498.144,Luna Energy Facility [1000795] -- Power Plants
1007792,"MARTIN MARIETTA NORTH TEXAS CEMENT, LLC",Minerals,1321287.27,"MARTIN MARIETTA NORTH TEXAS CEMENT, LLC [1007792] -- Minerals"
1007997,KOSMOS CEMENT CO,Minerals,1320866.448,KOSMOS CEMENT CO [1007997] -- Minerals
1002758,EQUISTAR CHEMICALS LAPORTE COMPLEX,Chemicals,1315541.208,EQUISTAR CHEMICALS LAPORTE COMPLEX [1002758] -- Chemicals
1004097,"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC",Minerals,1314749.77,"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC [1004097] -- Minerals"
1001178,Chattahoochee Energy Facility,Power Plants,1310709.292,Chattahoochee Energy Facility [1001178] -- Power Plants
1001621,US STEEL - Minntac,Metals,1305689.084,US STEEL - Minntac [1001621] -- Metals
