facility_id,facility_name,primary_sector,state,year,emissions,predicted,error_pct
1000030,US MAGNESIUM LLC,Metals,UT,2021,293584.576,312240.2127653052,6.354433539895905
1000030,US MAGNESIUM LLC,Metals,UT,2022,146582.864,284460.5212272813,94.06123844549886
1000030,US MAGNESIUM LLC,Metals,UT,2023,13187.234,259152.36035826776,1865.1760206747508
1000031,Northwest Regional Landfill,Waste,AZ,2021,104353.876,115920.17822406616,11.083730348517339
1000031,Northwest Regional Landfill,Waste,AZ,2022,95653.684,124703.96677313636,30.370270708168825
1000031,Northwest Regional Landfill,Waste,AZ,2023,95960.134,134153.34212906662,39.8011200453999
1000032,KRATON Corporation,Other,OH,2021,209305.566,191138.0775051893,8.679887898829541
1000032,KRATON Corporation,Other,OH,2022,208474.52,182980.26862387874,12.228953147905676
1000032,KRATON Corporation,Other,OH,2023,209507.268,175170.63655073024,16.389231637190633
1000034,ADM SOYBEAN PROCESSING - DES MOINES,Other,IA,2021,147313.24,151320.63355167006,2.720321372111613
1000034,ADM SOYBEAN PROCESSING - DES MOINES,Other,IA,2022,151811.58,152402.90589445882,0.3895130361325735
1000034,ADM SOYBEAN PROCESSING - DES MOINES,Other,IA,2023,108458.352,153492.9188433798,41.52245171803809
1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Other,OH,2021,183836.608,173930.59607196704,5.388487111355409
1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Other,OH,2022,192484.976,173197.66201802102,10.020165928160015
1000035,THE ANDERSONS MARATHON HOLDINGS LLC,Other,OH,2023,197846.056,172467.81650823893,12.827265806987368
1000036,UNIVERSITY OF CINCINNATI,Other,OH,2021,169645.048,142990.68782366463,15.711840982434913
1000036,UNIVERSITY OF CINCINNATI,Other,OH,2022,158588.22,143067.6987204111,9.786679792224728
1000036,UNIVERSITY OF CINCINNATI,Other,OH,2023,172057.794,143144.75109313277,16.80426223927248
1000037,TYSON FRESH MEATS INC,Other,IL,2021,37294.388,39574.78892737931,6.1145953846442325
1000037,TYSON FRESH MEATS INC,Other,IL,2022,37060.018,40509.77722473315,9.308574066891053
1000037,TYSON FRESH MEATS INC,Other,IL,2023,34753.392,41466.855421739776,19.3174335953733
1000038,TYSON FRESH MEATS,Other,WA,2021,104440.318,132687.1680056914,27.045924932640865
1000038,TYSON FRESH MEATS,Other,WA,2022,94596.042,144098.80582862246,52.33069247085671
1000038,TYSON FRESH MEATS,Other,WA,2023,100445.238,156491.89106473612,55.79821819401346
1000039,GE's Grid Solutions,Import and Export of Equipment Containing Fluorintaed GHGs,PA,2021,28632.47694,18177.888801109166,36.51304132995081
1000039,GE's Grid Solutions,Import and Export of Equipment Containing Fluorintaed GHGs,PA,2022,29677.74829,18429.51600767386,37.901232170353914
1000039,GE's Grid Solutions,Import and Export of Equipment Containing Fluorintaed GHGs,PA,2023,1485.8928,18684.62636081168,1157.4679923620113
1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",Other,NE,2021,61397.732,70851.35949806095,15.397356205374074
1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",Other,NE,2022,63541.496,73409.74144692496,15.530395203356504
1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",Other,NE,2023,62755.848,76060.50437820969,21.200663846036615
1000041,WISCONSIN PAPERBOARD,Pulp and Paper,WI,2021,43343.636,43895.066708404884,1.2722299264530672
1000041,WISCONSIN PAPERBOARD,Pulp and Paper,WI,2022,41161.896,43938.49806241679,6.745564058606014
1000041,WISCONSIN PAPERBOARD,Pulp and Paper,WI,2023,36086.164,43981.972388968716,21.88043148329293
1000043,Linde Inc Texas City Hydrogen Complex,Chemicals,TX,2021,1449348.4,1435629.142600095,0.9465810566945124
1000043,Linde Inc Texas City Hydrogen Complex,Chemicals,TX,2022,1407460.7,1456363.8121847317,3.4745632460452898
1000043,Linde Inc Texas City Hydrogen Complex,Chemicals,TX,2023,1286745.9,1477397.9508383854,14.81660449342683
1000045,TYSON POULTRY INC.-SEDALIA,Other,MO,2021,85856.96,88332.6486636057,2.8835037527600416
1000045,TYSON POULTRY INC.-SEDALIA,Other,MO,2022,98080.688,87824.29528497081,10.457097033239801
1000045,TYSON POULTRY INC.-SEDALIA,Other,MO,2023,94794.952,87318.86747419197,7.886585063947325
1000046,BADLANDS SANITARY LANDFILL,Waste,CA,2021,88809.25,90810.90324993743,2.2538792411121924
1000046,BADLANDS SANITARY LANDFILL,Waste,CA,2022,82236.25,97872.18399821395,19.013432638543158
1000046,BADLANDS SANITARY LANDFILL,Waste,CA,2023,84300.5,105482.53632293704,25.126821694933057
1000047,PENOBSCOT ENERGY RECOVERY CO.,Waste,ME,2021,32835.898,53581.929419062646,63.18094732497538
1000047,PENOBSCOT ENERGY RECOVERY CO.,Waste,ME,2022,30604.396,49434.723084425306,61.528177469750766
1000047,PENOBSCOT ENERGY RECOVERY CO.,Waste,ME,2023,7392.966,45608.50781092607,516.9175918153292
1000048,"ALLISON TRANSMISSION, Inc.",Other,IN,2021,27385.992,23817.53901037755,13.03021263433674
1000048,"ALLISON TRANSMISSION, Inc.",Other,IN,2022,6229.848,23537.44933275946,277.817393502369
1000048,"ALLISON TRANSMISSION, Inc.",Other,IN,2023,26842.806,23260.65345587679,13.344925802925415
1000049,Lange,Power Plants,SD,2021,24576.96,13146.054127513364,46.51065824449662
1000049,Lange,Power Plants,SD,2022,16337.24,14901.954354506417,8.785361820561995
1000049,Lange,Power Plants,SD,2023,23769.212,16892.387740822243,28.93164594256535
1000050,Wygen I,Power Plants,WY,2021,645553.352,810533.807257123,25.556440028696965
1000050,Wygen I,Power Plants,WY,2022,838840.008,806409.9417835579,3.8660609779167987
1000050,Wygen I,Power Plants,WY,2023,799204.982,802307.0578733672,0.38814521220880677
1000052,Mesquite Generating Station,Power Plants,AZ,2021,2442635.648,2320379.1241486627,5.005106838240058
1000052,Mesquite Generating Station,Power Plants,AZ,2022,2762843.812,2346181.100284264,15.080936168234471
1000052,Mesquite Generating Station,Power Plants,AZ,2023,3009090.348,2372269.987280928,21.163218350766254
1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,Power Plants,TX,2021,147958.588,109777.1160684146,25.805512507043787
1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,Power Plants,TX,2022,151821.324,111037.88839247695,26.862784840107867
1000053,TEXAS MEDICAL CENTER CENTRAL HEATING AND COOLING SERVICES CORPORATION,Power Plants,TX,2023,143672.554,112313.14048163104,21.827003589265185
1000056,SPECIALTY MINERALS,Minerals,MA,2021,137597.776,134009.31066612486,2.6079384697868604
1000056,SPECIALTY MINERALS,Minerals,MA,2022,133138.596,134760.2068963596,1.2179870789381053
1000056,SPECIALTY MINERALS,Minerals,MA,2023,104307.134,135515.3106338621,29.91950352490952
1000059,Tenaska Kiamichi Generating Station,Power Plants,OK,2021,1862559.748,1815429.9231683356,2.5303792204396083
1000059,Tenaska Kiamichi Generating Station,Power Plants,OK,2022,2135225.336,1909440.4495084349,10.574288468988327
1000059,Tenaska Kiamichi Generating Station,Power Plants,OK,2023,2201472.592,2008319.2326454283,8.773825304774537
1000060,Limon Generating Station,Power Plants,CO,2021,80325.954,38217.97261536557,52.42138971002377
1000060,Limon Generating Station,Power Plants,CO,2022,79704.082,39450.676926297645,50.50356777674493
1000060,Limon Generating Station,Power Plants,CO,2023,95918.972,40723.14158594002,57.5442264060753
1000062,MT JEWETT COMPLEX,Minerals,PA,2021,41640.444,38089.992135504785,8.526450545280493
1000062,MT JEWETT COMPLEX,Minerals,PA,2022,38171.756,37837.0381939905,0.8768729581355988
1000062,MT JEWETT COMPLEX,Minerals,PA,2023,28851.2157528,37585.764108337105,30.274455088394053
1000063,CHIEF ETHANOL FUELS INC,Other,NE,2021,154456.594,153338.95413627653,0.7235947878816241
1000063,CHIEF ETHANOL FUELS INC,Other,NE,2022,138639.018,152151.19336884614,9.746300546391732
1000063,CHIEF ETHANOL FUELS INC,Other,NE,2023,121110.844,150972.63297485374,24.6565773869545
1000064,LONE STAR GAS LIQUIDS,Petroleum and Natural Gas Systems,CA,2021,35780.62,54002.121108449435,50.92561590170721
1000064,LONE STAR GAS LIQUIDS,Petroleum and Natural Gas Systems,CA,2022,156.298,52667.729766321136,33596.99533347908
1000064,LONE STAR GAS LIQUIDS,Petroleum and Natural Gas Systems,CA,2023,1,51366.31120780575,5136531.120780575
1000066,"INGOMAR PACKING COMPANY, LLC",Other,CA,2021,82511.84,79298.04239707062,3.8949532611675837
1000066,"INGOMAR PACKING COMPANY, LLC",Other,CA,2022,81949.24,78880.58814016826,3.7445763497400932
1000066,"INGOMAR PACKING COMPANY, LLC",Other,CA,2023,96772.036,78465.33151704508,18.91734972172634
1000068,Apex Generating Station,Power Plants,NV,2021,1022418.512,1241814.0829544521,21.458489686897625
1000068,Apex Generating Station,Power Plants,NV,2022,999140.348,1382189.8533887982,38.337907797994184
1000068,Apex Generating Station,Power Plants,NV,2023,865093.544,1538433.8259924722,77.8343898948889
1000069,"Wallingford Energy, LLC",Power Plants,CT,2021,63741.789,77167.76766302598,21.063071610723043
1000069,"Wallingford Energy, LLC",Power Plants,CT,2022,44009.513,80065.52628005878,81.92777157079377
1000069,"Wallingford Energy, LLC",Power Plants,CT,2023,91363.26,83072.09982406023,9.074939068439283
1000070,High Desert Power Project,Power Plants,CA,2021,1537823.352,1230839.199681193,19.96225066549821
1000070,High Desert Power Project,Power Plants,CA,2022,1640423.072,1221362.4171235661,25.545888864237686
1000070,High Desert Power Project,Power Plants,CA,2023,1585414.324,1211958.6005615527,23.55571775687119
1000071,York Energy Center,Power Plants,PA,2021,3128642.746,1699553.901497162,45.677597620563795
1000071,York Energy Center,Power Plants,PA,2022,2930480.344,1871424.2709925387,36.13933378450469
1000071,York Energy Center,Power Plants,PA,2023,3566412.528,2060675.3330828731,42.219939031044326
1000077,"REPUBLIC STEEL, LACKAWANNA",Metals,NY,2021,75641.716,65975.02350729374,12.779578523451615
1000077,"REPUBLIC STEEL, LACKAWANNA",Metals,NY,2022,59930.524,64982.49945127697,8.429720139401706
1000077,"REPUBLIC STEEL, LACKAWANNA",Metals,NY,2023,25828.352,64004.90686401009,147.8087137112352
1000079,SOUTHERN ILLINOIS UNIVERSITY,Other,IL,2021,97356.714,90469.21927628189,7.074493828662005
1000079,SOUTHERN ILLINOIS UNIVERSITY,Other,IL,2022,95204.844,87624.17513459324,7.962482313827178
1000079,SOUTHERN ILLINOIS UNIVERSITY,Other,IL,2023,121829.162,84868.60093895814,30.33802453721372
1000084,Seminole (136),Power Plants,FL,2021,6170125.916,6590662.781651855,6.815693413344196
1000084,Seminole (136),Power Plants,FL,2022,5826128.952,6527011.99437898,12.029995356322843
1000084,Seminole (136),Power Plants,FL,2023,5902849.636,6463975.92869857,9.506023824093385
1000085,Hartwell Energy Facility,Power Plants,GA,2021,117536.748,110814.37330523993,5.719381222594378
1000085,Hartwell Energy Facility,Power Plants,GA,2022,193354.784,123607.00960943263,36.072432730998464
1000085,Hartwell Energy Facility,Power Plants,GA,2023,136583.844,137876.45382879165,0.9463855979859808
1000086,Chemours Johnsonville Site,Chemicals,TN,2021,350895.22,333364.8572515783,4.995896709114953
1000086,Chemours Johnsonville Site,Chemicals,TN,2022,342139.752,327479.92792913696,4.28474738324561
1000086,Chemours Johnsonville Site,Chemicals,TN,2023,298109.642,321698.88596127776,7.9129422996917915
1000087,Energy Center Dover,Power Plants,DE,2021,72307.676,56668.77572656298,21.628271213469823
1000087,Energy Center Dover,Power Plants,DE,2022,64431.192,53675.28645749279,16.693631156951458
1000087,Energy Center Dover,Power Plants,DE,2023,55477.492,50839.9262090189,8.359364534685703
1000088,GSA Central Heating,Power Plants,DC,2021,125046.68,125802.58585031999,0.6044989361732692
1000088,GSA Central Heating,Power Plants,DC,2022,110555.132,123418.97923312799,11.635685291505048
1000088,GSA Central Heating,Power Plants,DC,2023,114503.02,121080.5352846291,5.744403321963999
1000089,AdvanSix Resins & Chemicals LLC,Chemicals,PA,2021,164946.48,162806.9928738301,1.2970795897977943
1000089,AdvanSix Resins & Chemicals LLC,Chemicals,PA,2022,157464.408,164960.81658318324,4.760700324852617
1000089,AdvanSix Resins & Chemicals LLC,Chemicals,PA,2023,159664.5,167143.13388786107,4.683967875051167
1000090,CITY OF GRAND PRAIRIE LANDFILL,Waste,TX,2021,104656,180183.68006740417,72.1675585417025
1000090,CITY OF GRAND PRAIRIE LANDFILL,Waste,TX,2022,95546,199121.53967303995,108.40384701927863
1000090,CITY OF GRAND PRAIRIE LANDFILL,Waste,TX,2023,72348,220049.82663762826,204.15467827393746
1000092,Kneeland Station,Power Plants,MA,2021,77700.952,71043.18313106462,8.568452120040153
1000092,Kneeland Station,Power Plants,MA,2022,112129.872,65864.76557095654,41.26028649086789
1000092,Kneeland Station,Power Plants,MA,2023,69195.294,61063.808693844105,11.75150047943418
1000093,Momentive Performance Materials,Other,NY,2021,116041.966,126941.75716513509,9.39297354298107
1000093,Momentive Performance Materials,Other,NY,2022,68754.794,126668.05036133273,84.23159025293965
1000093,Momentive Performance Materials,Other,NY,2023,60438.476,126394.9337133319,109.12991537597986
1000095,Red Oak Power LLC,Power Plants,NJ,2021,941309.412,1569300.4511086529,66.71462444791244
1000095,Red Oak Power LLC,Power Plants,NJ,2022,1221138.024,1528506.4733369586,25.17065583873413
1000095,Red Oak Power LLC,Power Plants,NJ,2023,1228375.468,1488772.9353435498,21.198523914477075
1000097,Gila River Power Station,Power Plants,AZ,2021,4072372.956,3610325.942926709,11.345891402027343
1000097,Gila River Power Station,Power Plants,AZ,2022,4074141.804,3878961.617877911,4.790706742962675
1000097,Gila River Power Station,Power Plants,AZ,2023,4049874.344,4167585.8276587375,2.906546565651606
1000098,"Wise County Power Company, LLC",Power Plants,TX,2021,907116.988,636377.7058443221,29.84612632518331
1000098,"Wise County Power Company, LLC",Power Plants,TX,2022,1132980.652,582903.799935585,48.55130148016111
1000098,"Wise County Power Company, LLC",Power Plants,TX,2023,1279094.96,533923.2296463654,58.25773329242377
1000099,Robinson Refinery,Petroleum Product Suppliers,IL,2021,1713791.632,1734212.3860906092,1.191554078647133
