year,primary_sector,emissions
2022,Petroleum Product Suppliers,41165864.832
2022,Power Plants,616207381.9247535
2022,Pulp and Paper,15277390.996
2022,Refineries,1020483.196
2022,Waste,33151578.864
2023,Other,60379098.2971937
2023,Chemicals,161170984.653299
2023,Import and Export of Equipment Containing Fluorintaed GHGs,84424.5936
2023,Industrial Gas Suppliers,8378.068
2023,Injection of CO2,4197868.384000001
2023,Metals,41329140.076
2023,Minerals,58813722.40242997
2023,Natural Gas and Natural Gas Liquids Suppliers,3025626.662
2023,Petroleum and Natural Gas Systems,29646033.356749628
2023,Petroleum Product Suppliers,41097383.33
2023,Power Plants,588111928.8383842
2023,Pulp and Paper,14776235.915101932
2023,Refineries,1026499.568
2023,Waste,33589747.276
